country_name,country_3_letter_code,discipline_title,event_title,slug_game,game_season,game_year,men_bronze,men_gold,men_silver,mixed_bronze,mixed_gold,mixed_silver,open_bronze,open_gold,open_silver,women_bronze,women_gold,women_silver,men_total,women_total,men_weighted_total,women_weighted_total
AIN,AIN,Rowing,Men's Single Sculls,paris-2024,Summer,2024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
AIN,AIN,Tennis,Women's Doubles,paris-2024,Summer,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
AIN,AIN,Trampoline Gymnastics,Men,paris-2024,Summer,2024,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
AIN,AIN,Trampoline Gymnastics,Women,paris-2024,Summer,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
AIN,AIN,Weightlifting,Men's 102kg,paris-2024,Summer,2024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Afghanistan,AFG,Taekwondo,58 - 68 kg men,london-2012,Summer,2012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Afghanistan,AFG,Taekwondo,Beijing 2008 Taekwondo - 58 kg men,beijing-2008,Summer,2008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Albania,ALB,Wrestling,Men's Freestyle 65kg,paris-2024,Summer,2024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Albania,ALB,Wrestling,Men's Freestyle 74kg,paris-2024,Summer,2024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Algeria,DZA,Artistic Gymnastics,Women's Uneven Bars,paris-2024,Summer,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
